"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_8","MAP3K14","0.129","0.871","1","low"
"hpc_7","MAP3K14","0.1","0.9","1","low"
"hpc_14","MAPK1","0.127","0.873","1","low"
"hpc_27","MAPK1","0.111","0.889","1","low"
"hpc_22","MAPK1","0.097","0.903","1","low"
"hpc_31","MAPK1","0.119","0.881","1","low"
"hpc_3","MAPK1","0.127","0.873","1","low"
"hpc_16","MAPK1","0.089","0.911","1","low"
"hpc_15","MAPK1","0.134","0.866","1","low"
"hpc_21","MAPK1","0.199","0.801","1","low"
"hpc_20","MAPK1","0.143","0.857","1","low"
"hpc_37","CHEK1","0.202","0.798","1","high"
"hpc_32","CHEK1","0.184","0.816","1","high"
"hpc_44","CHEK1","0.21","0.79","1","high"
"hpc_39","CHEK1","0.237","0.763","1","high"
"hpc_27","CHEK1","0.382","0.618","1","high"
"hpc_22","CHEK1","0.267","0.733","1","high"
"hpc_31","CHEK1","0.253","0.747","1","high"
"hpc_3","CHEK1","0.183","0.817","1","high"
"hpc_7","CHEK1","0.138","0.862","1","high"
"hpc_15","CSNK2A1","0.155","0.845","1","high"
"hpc_14","CSNK2A1","0.169","0.831","1","high"
"hpc_20","CSNK2A1","0.31","0.69","1","high"
"hpc_16","CSNK2A1","0.12","0.88","1","high"
"hpc_9","CHEK1","0.184","0.816","1","high"
"hpc_8","CHEK1","0.248","0.752","1","high"
"hpc_1","CSNK2A1","0.139","0.861","1","high"
"hpc_0","CSNK2A1","0.237","0.763","1","high"
"hpc_39","CDK2","0.124","0.876","1","high"
"hpc_37","CDK2","0.1","0.9","1","high"
"hpc_44","CDK2","0.112","0.888","1","high"
"hpc_41","CDK2","0.14","0.86","1","high"
"hpc_3","CDK2","0.1","0.9","1","high"
"hpc_27","CDK2","0.121","0.879","1","high"
"hpc_32","CDK2","0.096","0.904","1","high"
"hpc_31","CDK2","0.127","0.873","1","high"
"hpc_7","CDK2","0.09","0.91","1","high"
"hpc_16","CHEK1","0.22","0.78","1","high"
"hpc_15","CHEK1","0.167","0.833","1","high"
"hpc_21","CHEK1","0.141","0.859","1","high"
"hpc_20","CHEK1","0.288","0.712","1","high"
"hpc_9","CDK2","0.105","0.895","1","high"
"hpc_8","CDK2","0.114","0.886","1","high"
"hpc_14","CHEK1","0.238","0.762","1","high"
"hpc_1","CHEK1","0.201","0.799","1","high"
"hpc_27","EGF","0.111","0.889","1","high"
"hpc_22","EGF","0.091","0.909","1","high"
"hpc_31","EGF","0.105","0.895","1","high"
"hpc_3","EGF","0.099","0.901","1","high"
"hpc_16","EGF","0.098","0.902","1","high"
"hpc_15","EGF","0.108","0.892","1","high"
"hpc_21","EGF","0.115","0.885","1","high"
"hpc_20","EGF","0.117","0.883","1","high"
"hpc_32","EGF","0.103","0.897","1","high"
"hpc_8","EGF","0.099","0.901","1","high"
"hpc_7","EGF","0.079","0.921","1","high"
"hpc_0","GSK3B","0.141","0.859","1","high"
"hpc_9","EGF","0.099","0.901","1","high"
"hpc_39","EGF","0.102","0.898","1","high"
"hpc_37","EGF","0.116","0.884","1","high"
"hpc_44","EGF","0.103","0.897","1","high"
"hpc_41","EGF","0.155","0.845","1","high"
