"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_22","JAK-STAT","0.109","0.891","1","high"
"hpc_7","JAK-STAT","0.117","0.883","1","high"
"hpc_8","JAK-STAT","0.103","0.897","1","high"
"hpc_9","JAK-STAT","0.121","0.879","1","high"
"hpc_44","JAK-STAT","0.094","0.906","1","high"
"hpc_37","JAK-STAT","0.1","0.9","1","high"
"hpc_39","JAK-STAT","0.1","0.9","1","high"
"hpc_41","JAK-STAT","0.083","0.917","1","high"
"hpc_16","JAK-STAT","0.104","0.896","1","high"
"hpc_27","Hypoxia","0.634","0.366","1","high"
"hpc_3","Hypoxia","0.512","0.488","1","high"
"hpc_32","Hypoxia","0.494","0.506","1","high"
"hpc_22","Hypoxia","0.444","0.556","1","high"
"hpc_15","Hypoxia","0.695","0.305","1","high"
"hpc_16","Hypoxia","0.673","0.327","1","high"
"hpc_20","Hypoxia","0.652","0.348","1","high"
"hpc_10","JAK-STAT","0.119","0.881","1","high"
"hpc_14","JAK-STAT","0.102","0.898","1","high"
"hpc_15","JAK-STAT","0.089","0.911","1","high"
"hpc_1","JAK-STAT","0.088","0.912","1","high"
"hpc_44","Hypoxia","0.398","0.602","1","high"
"hpc_8","Hypoxia","0.507","0.493","1","high"
"hpc_0","JAK-STAT","0.094","0.906","1","high"
"hpc_1","MAPK","0.355","0.645","1","high"
"hpc_10","PI3K","0.546","0.454","1","high"
"hpc_14","PI3K","0.214","0.786","1","high"
"hpc_15","PI3K","0.569","0.431","1","high"
"hpc_1","PI3K","0.632","0.368","1","high"
"hpc_27","NFkB","0.481","0.519","1","high"
"hpc_44","NFkB","0.576","0.424","1","high"
"hpc_0","PI3K","0.516","0.484","1","high"
"hpc_31","PI3K","0.298","0.702","1","high"
"hpc_32","PI3K","0.458","0.542","1","high"
"hpc_37","PI3K","0.808","0.192","1","high"
"hpc_3","PI3K","0.711","0.289","1","high"
"hpc_21","PI3K","0.467","0.533","1","high"
"hpc_22","PI3K","0.705","0.295","1","high"
"hpc_27","PI3K","0.464","0.536","1","high"
"hpc_9","MAPK","0.242","0.758","1","high"
"hpc_27","MAPK","0.425","0.575","1","high"
"hpc_3","MAPK","0.287","0.713","1","high"
"hpc_31","MAPK","0.336","0.664","1","high"
"hpc_21","MAPK","0.222","0.778","1","high"
"hpc_14","MAPK","0.482","0.518","1","high"
"hpc_15","MAPK","0.267","0.733","1","high"
"hpc_16","MAPK","0.296","0.704","1","high"
"hpc_44","MAPK","0.265","0.735","1","high"
"hpc_7","MAPK","0.341","0.659","1","high"
"hpc_8","MAPK","0.348","0.652","1","high"
"hpc_41","MAPK","0.447","0.553","1","high"
"hpc_32","MAPK","0.275","0.725","1","high"
"hpc_37","MAPK","0.386","0.614","1","high"
"hpc_39","MAPK","0.27","0.73","1","high"
"hpc_10","Hypoxia","0.693","0.307","1","high"
"hpc_0","EGFR","0.14","0.86","1","high"
"hpc_1","EGFR","0.116","0.884","1","high"
"hpc_10","EGFR","0.085","0.915","1","high"
"hpc_9","Androgen","0.068","0.932","1","high"
"hpc_44","Androgen","0.124","0.876","1","high"
"hpc_7","Androgen","0.641","0.359","1","high"
"hpc_8","Androgen","0.089","0.911","1","high"
"hpc_21","EGFR","0.186","0.814","1","high"
"hpc_22","EGFR","0.108","0.892","1","high"
"hpc_27","EGFR","0.133","0.867","1","high"
"hpc_20","EGFR","0.13","0.87","1","high"
"hpc_14","EGFR","0.121","0.879","1","high"
"hpc_15","EGFR","0.146","0.854","1","high"
"hpc_16","EGFR","0.076","0.924","1","high"
"hpc_41","Androgen","0.106","0.894","1","high"
"hpc_16","Androgen","0.062","0.938","1","high"
"hpc_20","Androgen","0.17","0.83","1","high"
"hpc_21","Androgen","0.079","0.921","1","high"
"hpc_15","Androgen","0.09","0.91","1","high"
"hpc_1","Androgen","0.062","0.938","1","high"
"hpc_10","Androgen","0.075","0.925","1","high"
"hpc_14","Androgen","0.067","0.933","1","high"
"hpc_32","Androgen","0.113","0.887","1","high"
"hpc_37","Androgen","0.08","0.92","1","high"
"hpc_39","Androgen","0.19","0.81","1","high"
"hpc_31","Androgen","0.061","0.939","1","high"
"hpc_22","Androgen","0.074","0.926","1","high"
"hpc_27","Androgen","0.33","0.67","1","high"
"hpc_3","Androgen","0.074","0.926","1","high"
"hpc_3","EGFR","0.1","0.9","1","high"
"hpc_3","Estrogen","0.093","0.907","1","high"
"hpc_32","Estrogen","0.107","0.893","1","high"
"hpc_37","Estrogen","0.115","0.885","1","high"
"hpc_27","Estrogen","0.573","0.427","1","high"
"hpc_20","Estrogen","0.295","0.705","1","high"
"hpc_21","Estrogen","0.06","0.94","1","high"
"hpc_22","Estrogen","0.189","0.811","1","high"
"hpc_8","Estrogen","0.189","0.811","1","high"
"hpc_9","Estrogen","0.218","0.782","1","high"
"hpc_1","Hypoxia","0.621","0.379","1","high"
"hpc_7","Estrogen","0.125","0.875","1","high"
"hpc_39","Estrogen","0.206","0.794","1","high"
"hpc_41","Estrogen","0.136","0.864","1","high"
"hpc_44","Estrogen","0.275","0.725","1","high"
"hpc_16","Estrogen","0.157","0.843","1","high"
"hpc_41","EGFR","0.098","0.902","1","high"
"hpc_44","EGFR","0.104","0.896","1","high"
"hpc_7","EGFR","0.128","0.872","1","high"
"hpc_39","EGFR","0.134","0.866","1","high"
"hpc_31","EGFR","0.117","0.883","1","high"
"hpc_32","EGFR","0.14","0.86","1","high"
"hpc_37","EGFR","0.111","0.889","1","high"
"hpc_10","Estrogen","0.103","0.897","1","high"
"hpc_14","Estrogen","0.226","0.774","1","high"
"hpc_15","Estrogen","0.208","0.792","1","high"
"hpc_1","Estrogen","0.08","0.92","1","high"
"hpc_8","EGFR","0.124","0.876","1","high"
"hpc_9","EGFR","0.107","0.893","1","high"
"hpc_0","Estrogen","0.021","0.979","1","high"
"hpc_39","PI3K","0.362","0.638","1","high"
"hpc_44","VEGF","0.169","0.831","1","high"
"hpc_7","VEGF","0.167","0.833","1","high"
"hpc_8","VEGF","0.52","0.48","1","high"
"hpc_41","VEGF","0.271","0.729","1","high"
"hpc_32","VEGF","0.182","0.818","1","high"
"hpc_37","VEGF","0.178","0.822","1","high"
"hpc_39","VEGF","0.201","0.799","1","high"
"hpc_15","WNT","0.761","0.239","1","high"
"hpc_16","WNT","0.605","0.395","1","high"
"hpc_20","WNT","0.321","0.679","1","high"
"hpc_14","WNT","0.138","0.862","1","high"
"hpc_9","VEGF","0.405","0.595","1","high"
"hpc_0","WNT","0.127","0.873","1","high"
"hpc_10","WNT","0.098","0.902","1","high"
"hpc_31","VEGF","0.178","0.822","1","high"
"hpc_0","VEGF","0.277","0.723","1","high"
"hpc_1","VEGF","0.17","0.83","1","high"
"hpc_14","VEGF","0.126","0.874","1","high"
"hpc_9","Trail","0.311","0.689","1","high"
"hpc_44","Trail","0.327","0.673","1","high"
"hpc_7","Trail","0.393","0.607","1","high"
"hpc_8","Trail","0.323","0.677","1","high"
"hpc_22","VEGF","0.198","0.802","1","high"
"hpc_27","VEGF","0.62","0.38","1","high"
"hpc_3","VEGF","0.432","0.568","1","high"
"hpc_21","VEGF","0.139","0.861","1","high"
"hpc_15","VEGF","0.185","0.815","1","high"
"hpc_16","VEGF","0.124","0.876","1","high"
"hpc_20","VEGF","0.583","0.417","1","high"
"hpc_21","WNT","0.196","0.804","1","high"
"hpc_44","p53","0.739","0.261","1","high"
"hpc_7","p53","0.747","0.253","1","high"
"hpc_0","Androgen","0.024","0.976","1","high"
"hpc_39","p53","0.617","0.383","1","high"
"hpc_3","p53","0.582","0.418","1","high"
"hpc_31","p53","0.619","0.381","1","high"
"hpc_37","p53","0.605","0.395","1","high"
"hpc_39","Androgen","0.165","0.835","1","low"
"hpc_41","Androgen","0.138","0.862","1","low"
"hpc_44","Androgen","0.131","0.869","1","low"
"hpc_31","Androgen","0.108","0.892","1","low"
"hpc_0","Androgen","0.052","0.948","1","low"
"hpc_16","Androgen","0.117","0.883","1","low"
"hpc_3","Androgen","0.123","0.877","1","low"
"hpc_16","p53","0.526","0.474","1","high"
"hpc_32","WNT","0.276","0.724","1","high"
"hpc_37","WNT","0.414","0.586","1","high"
"hpc_39","WNT","0.471","0.529","1","high"
"hpc_31","WNT","0.348","0.652","1","high"
"hpc_22","WNT","0.5","0.5","1","high"
"hpc_27","WNT","0.794","0.206","1","high"
"hpc_3","WNT","0.5","0.5","1","high"
"hpc_10","p53","0.779","0.221","1","high"
"hpc_14","p53","0.69","0.31","1","high"
"hpc_15","p53","0.708","0.292","1","high"
"hpc_8","WNT","0.851","0.149","1","high"
"hpc_41","WNT","0.232","0.768","1","high"
"hpc_44","WNT","0.252","0.748","1","high"
"hpc_7","WNT","0.421","0.579","1","high"
"hpc_41","Trail","0.302","0.698","1","high"
"hpc_41","TGFb","0.567","0.433","1","high"
"hpc_44","TGFb","0.176","0.824","1","high"
"hpc_7","TGFb","0.516","0.484","1","high"
"hpc_39","TGFb","0.224","0.776","1","high"
"hpc_31","TGFb","0.359","0.641","1","high"
"hpc_32","TGFb","0.197","0.803","1","high"
"hpc_37","TGFb","0.264","0.736","1","high"
"hpc_10","TNFa","0.162","0.838","1","high"
"hpc_14","TNFa","0.234","0.766","1","high"
"hpc_15","TNFa","0.369","0.631","1","high"
"hpc_1","TNFa","0.059","0.941","1","high"
"hpc_8","TGFb","0.281","0.719","1","high"
"hpc_9","TGFb","0.205","0.795","1","high"
"hpc_0","TNFa","0.056","0.944","1","high"
"hpc_3","TGFb","0.28","0.72","1","high"
"hpc_0","TGFb","0.084","0.916","1","high"
"hpc_1","TGFb","0.407","0.593","1","high"
"hpc_10","TGFb","0.139","0.861","1","high"
"hpc_9","PI3K","0.315","0.685","1","high"
"hpc_41","PI3K","0.261","0.739","1","high"
"hpc_44","PI3K","0.313","0.687","1","high"
"hpc_7","PI3K","0.329","0.671","1","high"
"hpc_21","TGFb","0.163","0.837","1","high"
"hpc_22","TGFb","0.53","0.47","1","high"
"hpc_27","TGFb","0.356","0.644","1","high"
"hpc_20","TGFb","0.17","0.83","1","high"
"hpc_14","TGFb","0.166","0.834","1","high"
"hpc_15","TGFb","0.324","0.676","1","high"
"hpc_16","TGFb","0.213","0.787","1","high"
"hpc_16","TNFa","0.099","0.901","1","high"
"hpc_16","Trail","0.251","0.749","1","high"
