"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_15","STAT1","0.231","0.769","1","high"
"hpc_41","STAT1","0.35","0.65","1","high"
"hpc_39","STAT1","0.318","0.682","1","high"
"hpc_7","STAT1","0.55","0.45","1","high"
"hpc_44","STAT1","0.212","0.788","1","high"
"hpc_31","STAT1","0.397","0.603","1","high"
"hpc_3","STAT1","0.45","0.55","1","high"
"hpc_37","STAT1","0.292","0.708","1","high"
"hpc_32","STAT1","0.234","0.766","1","high"
"hpc_7","ZNF263","0.652","0.348","1","high"
"hpc_44","ZNF263","0.104","0.896","1","high"
"hpc_9","ZNF263","0.138","0.862","1","high"
"hpc_8","ZNF263","0.15","0.85","1","high"
"hpc_37","ZNF263","0.093","0.907","1","high"
"hpc_32","ZNF263","0.208","0.792","1","high"
"hpc_41","ZNF263","0.096","0.904","1","high"
"hpc_39","ZNF263","0.233","0.767","1","high"
"hpc_27","E2F1","0.105","0.895","1","low"
"hpc_16","E2F1","0.06","0.94","1","low"
"hpc_31","E2F1","0.121","0.879","1","low"
"hpc_3","E2F1","0.136","0.864","1","low"
"hpc_1","E2F1","0.078","0.922","1","low"
"hpc_0","E2F1","0.11","0.89","1","low"
"hpc_14","E2F1","0.096","0.904","1","low"
"hpc_10","E2F1","0.097","0.903","1","low"
"hpc_31","ZNF263","0.102","0.898","1","high"
"hpc_0","ZNF263","0.068","0.932","1","high"
"hpc_9","STAT2","0.231","0.769","1","high"
"hpc_10","ZNF263","0.107","0.893","1","high"
"hpc_1","ZNF263","0.099","0.901","1","high"
"hpc_44","STAT2","0.121","0.879","1","high"
"hpc_41","STAT2","0.165","0.835","1","high"
"hpc_8","STAT2","0.209","0.791","1","high"
"hpc_7","STAT2","0.079","0.921","1","high"
"hpc_22","ZNF263","0.106","0.894","1","high"
"hpc_21","ZNF263","0.111","0.889","1","high"
"hpc_3","ZNF263","0.095","0.905","1","high"
"hpc_27","ZNF263","0.131","0.869","1","high"
"hpc_15","ZNF263","0.123","0.877","1","high"
"hpc_14","ZNF263","0.277","0.723","1","high"
"hpc_20","ZNF263","0.123","0.877","1","high"
"hpc_16","ZNF263","0.082","0.918","1","high"
"hpc_1","STAT1","0.553","0.447","1","high"
"hpc_41","RFX5","0.268","0.732","1","high"
"hpc_39","RFX5","0.249","0.751","1","high"
"hpc_7","RFX5","0.754","0.246","1","high"
"hpc_44","RFX5","0.244","0.756","1","high"
"hpc_31","RFX5","0.334","0.666","1","high"
"hpc_3","RFX5","0.246","0.754","1","high"
"hpc_37","RFX5","0.273","0.727","1","high"
"hpc_32","RFX5","0.216","0.784","1","high"
"hpc_14","SOX2","0.161","0.839","1","high"
"hpc_10","SOX2","0.66","0.34","1","high"
"hpc_16","SOX2","0.18","0.82","1","high"
"hpc_15","SOX2","0.207","0.793","1","high"
"hpc_9","RFX5","0.188","0.812","1","high"
"hpc_8","RFX5","0.382","0.618","1","high"
"hpc_1","SOX2","0.257","0.743","1","high"
"hpc_0","SOX2","0.392","0.608","1","high"
"hpc_27","RFX5","0.412","0.588","1","high"
"hpc_7","PRDM14","0.577","0.423","1","high"
"hpc_44","PRDM14","0.178","0.822","1","high"
"hpc_9","PRDM14","0.204","0.796","1","high"
"hpc_8","PRDM14","0.171","0.829","1","high"
"hpc_37","PRDM14","0.17","0.83","1","high"
"hpc_32","PRDM14","0.171","0.829","1","high"
"hpc_41","PRDM14","0.22","0.78","1","high"
"hpc_39","PRDM14","0.263","0.737","1","high"
"hpc_20","RFX5","0.291","0.709","1","high"
"hpc_16","RFX5","0.484","0.516","1","high"
"hpc_22","RFX5","0.234","0.766","1","high"
"hpc_21","RFX5","0.25","0.75","1","high"
"hpc_10","RFX5","0.182","0.818","1","high"
"hpc_1","RFX5","0.291","0.709","1","high"
"hpc_15","RFX5","0.387","0.613","1","high"
"hpc_14","RFX5","0.3","0.7","1","high"
"hpc_27","SPI1","0.148","0.852","1","high"
"hpc_22","SPI1","0.175","0.825","1","high"
"hpc_31","SPI1","0.713","0.287","1","high"
"hpc_3","SPI1","0.192","0.808","1","high"
"hpc_16","SPI1","0.303","0.697","1","high"
"hpc_15","SPI1","0.276","0.724","1","high"
"hpc_21","SPI1","0.225","0.775","1","high"
"hpc_20","SPI1","0.26","0.74","1","high"
